HomeTeam,AwayTeam,Prediction
Man City,Liverpool,1
Man City,Aston Villa,1
Man City,Tottenham,1
Man City,Chelsea,1
Man City,Newcastle,1
Man City,Man United,1
Man City,West Ham,1
Man City,Crystal Palace,1
Man City,Brighton,1
Man City,Bournemouth,1
Man City,Fulham,1
Man City,Wolves,1
Man City,Everton,1
Man City,Arsenal,1
Man City,Liverpool,1
Man City,Aston Villa,1
Man City,Tottenham,1
Man City,Chelsea,1
Man City,Newcastle,1
Man City,Man United,1
Man City,West Ham,1
Man City,Crystal Palace,1
Man City,Brighton,1
Man City,Bournemouth,1
Man City,Fulham,1
Man City,Wolves,1
Man City,Everton,1
