Team,ID
Crystal Palace,0
Newcastle,1
Arsenal,2
Charlton,3
Everton,4
Bolton,5
Sheffield United,6
Stoke,7
Hull,8
Blackburn,9
Bournemouth,10
Man United,11
Fulham,12
Middlesbrough,13
Man City,14
Middlesboro,15
Wolves,16
Liverpool,17
Aston Villa,18
Norwich,19
Leicester,20
Sunderland,21
Bradford,22
Brighton,23
Wigan,24
Burnley,25
Derby,26
Tottenham,27
West Ham,28
Birmingham,29
Ipswich,30
Portsmouth,31
Coventry,32
Southampton,33
QPR,34
Reading,35
Swansea,36
Blackpool,37
Huddersfield,38
Cardiff,39
West Brom,40
Chelsea,41
Leeds,42
Watford,43
