home_team,away_team,home_win_odds,home_dont_win_odds
Burnley,ManchesterCity,10.0,1.03
Arsenal,NottinghamForest,1.18,4.9
Bournemouth,WestHam,2.65,1.44
Brighton,LutonTown,1.27,3.7
Everton,Fulham,2.2,1.6
SheffieldUnited,CrystalPalace,3.7,1.25
Newcastle,AstonVilla,1.64,2.2
Brentford,Tottenham,2.7,1.43
Chelsea,Liverpool,3.05,1.35
ManchesterUnited,Wolverhampton,1.28,3.65
AstonVilla,Everton,1.84,1.92
CrystalPalace,Arsenal,4.4,1.19
Fulham,Brentford,2.85,1.4
Liverpool,Bournemouth,1.22,4.3
ManchesterCity,Newcastle,1.82,1.96
NottinghamForest,SheffieldUnited,1.94,1.84
Tottenham,ManchesterUnited,2.9,1.38
WestHam,Chelsea,3.25,1.32
Wolverhampton,Brighton,4.1,1.21
Bournemouth,Tottenham,3.4,1.29
Arsenal,Fulham,1.29,3.55
Brentford,CrystalPalace,2.15,1.66
Brighton,WestHam,1.52,2.45
Burnley,AstonVilla,3.15,1.33
Chelsea,LutonTown,1.27,3.75
Everton,Wolverhampton,2.45,1.52
ManchesterUnited,NottinghamForest,1.36,3.1
Newcastle,Liverpool,2.2,1.64
SheffieldUnited,ManchesterCity,15.0,1.02
Arsenal,ManchesterUnited,1.76,2.0
Brentford,Bournemouth,1.76,2.0
Brighton,Newcastle,2.55,1.48
Burnley,Tottenham,3.55,1.27
Chelsea,NottinghamForest,1.41,2.9
CrystalPalace,Wolverhampton,1.9,1.86
Liverpool,AstonVilla,1.62,2.25
LutonTown,WestHam,4.65,1.18
ManchesterCity,Fulham,1.18,4.9
SheffieldUnited,Everton,3.05,1.35
Bournemouth,Chelsea,4.0,1.22
AstonVilla,CrystalPalace,1.98,1.8
Everton,Arsenal,5.6,1.12
Fulham,LutonTown,1.68,2.15
ManchesterUnited,Brighton,2.05,1.74
Newcastle,Brentford,1.64,2.2
NottinghamForest,Burnley,2.1,1.68
Tottenham,SheffieldUnited,1.3,3.5
WestHam,ManchesterCity,5.5,1.13
Wolverhampton,Liverpool,4.5,1.18
Arsenal,Tottenham,1.64,2.2
Brentford,Everton,1.92,1.84
Brighton,Bournemouth,1.52,2.45
Burnley,ManchesterUnited,4.1,1.2
Chelsea,AstonVilla,1.86,1.9
CrystalPalace,Fulham,2.05,1.72
Liverpool,WestHam,1.38,2.95
LutonTown,Wolverhampton,3.2,1.32
ManchesterCity,NottinghamForest,1.17,4.9
SheffieldUnited,Newcastle,6.0,1.11
Bournemouth,Arsenal,6.0,1.1
AstonVilla,Brighton,2.45,1.5
Everton,LutonTown,1.64,2.15
Fulham,Chelsea,3.4,1.29
ManchesterUnited,CrystalPalace,1.54,2.35
Newcastle,Burnley,1.35,3.05
NottinghamForest,Brentford,2.6,1.46
Tottenham,Liverpool,2.95,1.37
WestHam,SheffieldUnited,1.42,2.8
Wolverhampton,ManchesterCity,8.5,1.05
Arsenal,ManchesterCity,3.0,1.37
Brighton,Liverpool,3.15,1.33
Burnley,Chelsea,5.0,1.15
CrystalPalace,NottinghamForest,2.3,1.58
Everton,Bournemouth,1.88,1.86
Fulham,SheffieldUnited,1.5,2.55
LutonTown,Tottenham,6.25,1.09
ManchesterUnited,Brentford,1.64,2.2
WestHam,Newcastle,3.4,1.29
Wolverhampton,AstonVilla,3.65,1.26
Bournemouth,Wolverhampton,2.3,1.56
AstonVilla,WestHam,1.8,1.96
Brentford,Burnley,1.74,2.05
Chelsea,Arsenal,3.25,1.32
Liverpool,Everton,1.39,2.9
ManchesterCity,Brighton,1.34,2.95
Newcastle,CrystalPalace,1.46,2.65
NottinghamForest,LutonTown,1.72,2.05
SheffieldUnited,ManchesterUnited,7.5,1.06
Tottenham,Fulham,1.5,2.5
Bournemouth,Burnley,2.1,1.6
Arsenal,SheffieldUnited,1.1,5.4
AstonVilla,LutonTown,1.26,3.3
Brighton,Fulham,1.52,2.15
Chelsea,Brentford,1.6,2.1
CrystalPalace,Tottenham,4.5,1.15
Liverpool,NottinghamForest,1.2,3.9
ManchesterUnited,ManchesterCity,5.25,1.13
WestHam,Everton,2.1,1.62
Wolverhampton,Newcastle,4.1,1.2
Brentford,WestHam,2.1,1.6
Burnley,CrystalPalace,3.2,1.29
Everton,Brighton,2.75,1.37
Fulham,ManchesterUnited,2.9,1.34
LutonTown,Liverpool,14.0,1.03
ManchesterCity,Bournemouth,1.08,6.5
Newcastle,Arsenal,2.8,1.36
NottinghamForest,AstonVilla,3.95,1.23
SheffieldUnited,Wolverhampton,4.1,1.2
Tottenham,Chelsea,2.25,1.52
AstonVilla,Fulham,1.6,2.1
Brighton,SheffieldUnited,1.25,3.5
Chelsea,ManchesterCity,4.7,1.16
CrystalPalace,Everton,2.5,1.43
Liverpool,Brentford,1.35,2.9
ManchesterUnited,LutonTown,1.28,3.35
WestHam,NottinghamForest,1.76,1.88
Wolverhampton,Tottenham,3.05,1.32
Bournemouth,Newcastle,3.85,1.22
Arsenal,Burnley,1.18,4.1
Brentford,Arsenal,5.5,1.12
Burnley,WestHam,3.35,1.27
Everton,ManchesterUnited,2.65,1.4
Fulham,Wolverhampton,2.4,1.48
LutonTown,CrystalPalace,3.95,1.21
ManchesterCity,Liverpool,1.68,2.0
Newcastle,Chelsea,2.65,1.4
NottinghamForest,Brighton,3.55,1.25
SheffieldUnited,Bournemouth,3.35,1.28
Tottenham,AstonVilla,2.6,1.42
Bournemouth,AstonVilla,3.15,1.35
Arsenal,Wolverhampton,1.2,3.85
Brentford,LutonTown,1.52,2.4
Burnley,SheffieldUnited,1.74,2.0
Liverpool,Fulham,1.2,3.9
ManchesterCity,Tottenham,1.22,3.75
Newcastle,ManchesterUnited,1.96,1.76
Wolverhampton,Burnley,1.88,1.9
CrystalPalace,WestHam,2.15,1.6
Everton,NottinghamForest,2.2,1.56
Fulham,Liverpool,4.5,1.19
LutonTown,Brentford,2.75,1.39
SheffieldUnited,Burnley,2.55,1.44
Wolverhampton,Arsenal,10.5,1.05
Bournemouth,Brighton,1.92,1.74
AstonVilla,Chelsea,2.0,1.66
Everton,Brentford,2.85,1.37
Fulham,CrystalPalace,2.0,1.68
ManchesterUnited,Burnley,1.46,2.45
Newcastle,SheffieldUnited,1.2,4.0
NottinghamForest,ManchesterCity,10.5,1.05
Tottenham,Arsenal,4.1,1.21
WestHam,Liverpool,5.5,1.15
Wolverhampton,LutonTown,1.88,1.78
Arsenal,Bournemouth,1.17,4.4
Brentford,Fulham,2.0,1.68
Brighton,AstonVilla,2.4,1.5
Burnley,Newcastle,3.35,1.29
Chelsea,WestHam,1.47,2.45
Liverpool,Tottenham,1.43,2.6
LutonTown,Everton,2.65,1.42
ManchesterCity,Wolverhampton,1.08,7.25
SheffieldUnited,NottinghamForest,4.5,1.18
WestHam,LutonTown,1.82,1.84
Wolverhampton,CrystalPalace,3.2,1.31
Bournemouth,Brentford,2.1,1.64
AstonVilla,Liverpool,3.75,1.25
Everton,SheffieldUnited,1.41,2.65
Fulham,ManchesterCity,11.5,1.05
ManchesterUnited,Arsenal,9.25,1.07
Newcastle,Brighton,1.54,2.25
NottinghamForest,Chelsea,4.0,1.22
Tottenham,Burnley,1.28,3.4
Arsenal,Everton,1.18,4.2
Brentford,Newcastle,2.85,1.38
Brighton,ManchesterUnited,2.6,1.45
Burnley,NottinghamForest,2.85,1.38
CrystalPalace,AstonVilla,1.6,2.15
Liverpool,Wolverhampton,1.13,5.6
LutonTown,Fulham,2.9,1.37
ManchesterCity,WestHam,1.05,7.75
SheffieldUnited,Tottenham,7.25,1.09
