HomeTeam,AwayTeam,Score
Arsenal,Everton FC,2 - 1
Chelsea FC,AFC Bournemouth,2 - 1
Liverpool FC,Wolverhampton Wanderers,2 - 0
Luton Town F.C.,Fulham,2 - 4
Burnley,Nottingham Forest,1 - 2
Brentford FC,Newcastle United,2 - 4
Brighton & Hove Albion,Manchester United,0 - 2
Sheffield United FC,Tottenham Hotspur,0 - 3
Crystal Palace,Aston Villa,5 - 0
Manchester City,West Ham United,3 - 1
Brighton & Hove Albion,Chelsea FC,1 - 2
Manchester United,Newcastle United,3 - 2
Tottenham Hotspur,Manchester City,0 - 2
Aston Villa,Liverpool FC,3 - 3
Manchester United,Arsenal,0 - 1
AFC Bournemouth,Brentford FC,1 - 2
Everton FC,Sheffield United FC,1 - 0
Nottingham Forest,Chelsea FC,2 - 3
Newcastle United,Brighton & Hove Albion,1 - 1
West Ham United,Luton Town F.C.,3 - 1
Fulham,Manchester City,0 - 4
Wolverhampton Wanderers,Crystal Palace,1 - 3
Tottenham Hotspur,Burnley,2 - 1
Crystal Palace,Manchester United,4 - 0
Brighton & Hove Albion,Aston Villa,1 - 0
Chelsea FC,West Ham United,5 - 0
Liverpool FC,Tottenham Hotspur,4 - 2
Arsenal,AFC Bournemouth,3 - 0
Brentford FC,Fulham,0 - 0
Sheffield United FC,Nottingham Forest,1 - 3
Manchester City,Wolverhampton Wanderers,5 - 1
Burnley,Newcastle United,1 - 4
Luton Town F.C.,Everton FC,1 - 1
Chelsea FC,Tottenham Hotspur,2 - 0
AFC Bournemouth,Brighton & Hove Albion,3 - 0
Tottenham Hotspur,Arsenal,2 - 3
Nottingham Forest,Manchester City,0 - 2
Everton FC,Brentford FC,1 - 0
Wolverhampton Wanderers,Luton Town F.C.,2 - 1
Aston Villa,Chelsea FC,2 - 2
Newcastle United,Sheffield United FC,5 - 1
West Ham United,Liverpool FC,2 - 2
Fulham,Crystal Palace,1 - 1
Manchester United,Burnley,1 - 1
Brighton & Hove Albion,Manchester City,0 - 4
Everton FC,Liverpool FC,2 - 0
Wolverhampton Wanderers,AFC Bournemouth,0 - 1
Manchester United,Sheffield United FC,4 - 2
Crystal Palace,Newcastle United,2 - 0
Arsenal,Chelsea FC,5 - 0
Everton FC,Nottingham Forest,2 - 0
Fulham,Liverpool FC,1 - 3
Aston Villa,AFC Bournemouth,3 - 1
Crystal Palace,West Ham United,5 - 2
Luton Town F.C.,Brentford FC,1 - 5
Wolverhampton Wanderers,Arsenal,0 - 2
Sheffield United FC,Burnley,1 - 4
Chelsea FC,Everton FC,6 - 0
West Ham United,Fulham,0 - 2
Arsenal,Aston Villa,0 - 2
Liverpool FC,Crystal Palace,0 - 1
Brentford FC,Sheffield United FC,2 - 0
Nottingham Forest,Wolverhampton Wanderers,2 - 2
Burnley,Brighton & Hove Albion,1 - 1
Manchester City,Luton Town F.C.,5 - 1
AFC Bournemouth,Manchester United,2 - 2
Newcastle United,Tottenham Hotspur,4 - 0
Sheffield United FC,Chelsea FC,2 - 2
Manchester United,Liverpool FC,2 - 2
Tottenham Hotspur,Nottingham Forest,3 - 1
Brighton & Hove Albion,Arsenal,0 - 3
Luton Town F.C.,AFC Bournemouth,2 - 1
Aston Villa,Brentford FC,3 - 3
Everton FC,Burnley,1 - 0
Fulham,Newcastle United,0 - 1
Wolverhampton Wanderers,West Ham United,1 - 2
Crystal Palace,Manchester City,2 - 4
Liverpool FC,Sheffield United FC,3 - 1
Chelsea FC,Manchester United,4 - 3
Arsenal,Luton Town F.C.,2 - 0
Brentford FC,Brighton & Hove Albion,0 - 0
Manchester City,Aston Villa,4 - 1
Nottingham Forest,Fulham,3 - 1
Burnley,Wolverhampton Wanderers,1 - 1
Newcastle United,Everton FC,1 - 1
AFC Bournemouth,Crystal Palace,1 - 0
West Ham United,Tottenham Hotspur,1 - 1
Liverpool FC,Brighton & Hove Albion,2 - 1
Manchester City,Arsenal,0 - 0
AFC Bournemouth,Everton FC,2 - 1
Sheffield United FC,Fulham,3 - 3
Aston Villa,Wolverhampton Wanderers,2 - 0
Tottenham Hotspur,Luton Town F.C.,2 - 1
Brentford FC,Manchester United,1 - 1
Chelsea FC,Burnley,2 - 2
Nottingham Forest,Crystal Palace,1 - 1
Newcastle United,West Ham United,4 - 3
West Ham United,Aston Villa,1 - 1
Burnley,Brentford FC,2 - 1
Luton Town F.C.,Nottingham Forest,1 - 1
Fulham,Tottenham Hotspur,3 - 0
AFC Bournemouth,Luton Town F.C.,4 - 3
Chelsea FC,Newcastle United,3 - 2
Brighton & Hove Albion,Nottingham Forest,1 - 0
Liverpool FC,Manchester City,1 - 1
Aston Villa,Tottenham Hotspur,0 - 4
West Ham United,Burnley,2 - 2
Arsenal,Brentford FC,2 - 1
AFC Bournemouth,Sheffield United FC,2 - 2
Wolverhampton Wanderers,Fulham,2 - 1
Crystal Palace,Luton Town F.C.,1 - 1
Manchester United,Everton FC,2 - 0
Sheffield United FC,Arsenal,0 - 6
Burnley,AFC Bournemouth,0 - 2
Manchester City,Manchester United,3 - 1
Brentford FC,Chelsea FC,2 - 2
Fulham,Brighton & Hove Albion,3 - 0
Nottingham Forest,Liverpool FC,0 - 1
Newcastle United,Wolverhampton Wanderers,3 - 0
Everton FC,West Ham United,1 - 3
Luton Town F.C.,Aston Villa,2 - 3
Tottenham Hotspur,Crystal Palace,3 - 1
West Ham United,Brentford FC,4 - 2
Wolverhampton Wanderers,Sheffield United FC,1 - 0
Brighton & Hove Albion,Everton FC,1 - 1
Aston Villa,Nottingham Forest,4 - 2
Manchester United,Fulham,1 - 2
Arsenal,Newcastle United,4 - 1
AFC Bournemouth,Manchester City,0 - 1
Crystal Palace,Burnley,3 - 0
Liverpool FC,Luton Town F.C.,4 - 1
Manchester City,Brentford FC,1 - 0
Everton FC,Crystal Palace,1 - 1
Sheffield United FC,Brighton & Hove Albion,0 - 5
Luton Town F.C.,Manchester United,1 - 2
Brentford FC,Liverpool FC,1 - 4
