HomeTeam,AwayTeam,Score,Result
Arsenal,Everton,2 - 1,1
Chelsea,Bournemouth,2 - 1,1
Liverpool,Wolves,2 - 0,1
Luton Town,Fulham,2 - 4,0
Burnley,Nottm Forrest,1 - 2,0
Brentford,Newcastle,2 - 4,0
Brighton,Man United,0 - 2,0
Sheffield United,Tottenham,0 - 3,0
Crystal Palace,Aston Villa,5 - 0,1
Man City,West Ham,3 - 1,1
Brighton,Chelsea,1 - 2,0
Man United,Newcastle,3 - 2,1
Tottenham,Man City,0 - 2,0
Aston Villa,Liverpool,3 - 3,0
Man United,Arsenal,0 - 1,0
Bournemouth,Brentford,1 - 2,0
Everton,Sheffield United,1 - 0,1
Nottm Forrest,Chelsea,2 - 3,0
Newcastle,Brighton,1 - 1,0
West Ham,Luton Town,3 - 1,1
Fulham,Man City,0 - 4,0
Wolves,Crystal Palace,1 - 3,0
Tottenham,Burnley,2 - 1,1
Crystal Palace,Man United,4 - 0,1
Brighton,Aston Villa,1 - 0,1
Chelsea,West Ham,5 - 0,1
Liverpool,Tottenham,4 - 2,1
Arsenal,Bournemouth,3 - 0,1
Brentford,Fulham,0 - 0,0
Sheffield United,Nottm Forrest,1 - 3,0
Man City,Wolves,5 - 1,1
Burnley,Newcastle,1 - 4,0
Luton Town,Everton,1 - 1,0
Chelsea,Tottenham,2 - 0,1
Bournemouth,Brighton,3 - 0,1
Tottenham,Arsenal,2 - 3,0
Nottm Forrest,Man City,0 - 2,0
Everton,Brentford,1 - 0,1
Wolves,Luton Town,2 - 1,1
Aston Villa,Chelsea,2 - 2,0
Newcastle,Sheffield United,5 - 1,1
West Ham,Liverpool,2 - 2,0
Fulham,Crystal Palace,1 - 1,0
Man United,Burnley,1 - 1,0
Brighton,Man City,0 - 4,0
Everton,Liverpool,2 - 0,1
Wolves,Bournemouth,0 - 1,0
Man United,Sheffield United,4 - 2,1
Crystal Palace,Newcastle,2 - 0,1
Arsenal,Chelsea,5 - 0,1
Everton,Nottm Forrest,2 - 0,1
Fulham,Liverpool,1 - 3,0
Aston Villa,Bournemouth,3 - 1,1
Crystal Palace,West Ham,5 - 2,1
Luton Town,Brentford,1 - 5,0
Wolves,Arsenal,0 - 2,0
Sheffield United,Burnley,1 - 4,0
Chelsea,Everton,6 - 0,1
West Ham,Fulham,0 - 2,0
Arsenal,Aston Villa,0 - 2,0
Liverpool,Crystal Palace,0 - 1,0
Brentford,Sheffield United,2 - 0,1
Nottm Forrest,Wolves,2 - 2,0
Burnley,Brighton,1 - 1,0
Man City,Luton Town,5 - 1,1
Bournemouth,Man United,2 - 2,0
Newcastle,Tottenham,4 - 0,1
Sheffield United,Chelsea,2 - 2,0
Man United,Liverpool,2 - 2,0
Tottenham,Nottm Forrest,3 - 1,1
Brighton,Arsenal,0 - 3,0
Luton Town,Bournemouth,2 - 1,1
Aston Villa,Brentford,3 - 3,0
Everton,Burnley,1 - 0,1
Fulham,Newcastle,0 - 1,0
Wolves,West Ham,1 - 2,0
Crystal Palace,Man City,2 - 4,0
Liverpool,Sheffield United,3 - 1,1
Chelsea,Man United,4 - 3,1
Arsenal,Luton Town,2 - 0,1
Brentford,Brighton,0 - 0,0
Man City,Aston Villa,4 - 1,1
Nottm Forrest,Fulham,3 - 1,1
Burnley,Wolves,1 - 1,0
Newcastle,Everton,1 - 1,0
Bournemouth,Crystal Palace,1 - 0,1
West Ham,Tottenham,1 - 1,0
Liverpool,Brighton,2 - 1,1
Man City,Arsenal,0 - 0,0
Bournemouth,Everton,2 - 1,1
Sheffield United,Fulham,3 - 3,0
Aston Villa,Wolves,2 - 0,1
Tottenham,Luton Town,2 - 1,1
Brentford,Man United,1 - 1,0
Chelsea,Burnley,2 - 2,0
Nottm Forrest,Crystal Palace,1 - 1,0
Newcastle,West Ham,4 - 3,1
West Ham,Aston Villa,1 - 1,0
Burnley,Brentford,2 - 1,1
Luton Town,Nottm Forrest,1 - 1,0
Fulham,Tottenham,3 - 0,1
Bournemouth,Luton Town,4 - 3,1
Chelsea,Newcastle,3 - 2,1
Brighton,Nottm Forrest,1 - 0,1
Liverpool,Man City,1 - 1,0
Aston Villa,Tottenham,0 - 4,0
West Ham,Burnley,2 - 2,0
Arsenal,Brentford,2 - 1,1
Bournemouth,Sheffield United,2 - 2,0
Wolves,Fulham,2 - 1,1
Crystal Palace,Luton Town,1 - 1,0
Man United,Everton,2 - 0,1
Sheffield United,Arsenal,0 - 6,0
Burnley,Bournemouth,0 - 2,0
Man City,Man United,3 - 1,1
Brentford,Chelsea,2 - 2,0
Fulham,Brighton,3 - 0,1
Nottm Forrest,Liverpool,0 - 1,0
Newcastle,Wolves,3 - 0,1
Everton,West Ham,1 - 3,0
Luton Town,Aston Villa,2 - 3,0
Tottenham,Crystal Palace,3 - 1,1
West Ham,Brentford,4 - 2,1
Wolves,Sheffield United,1 - 0,1
Brighton,Everton,1 - 1,0
Aston Villa,Nottm Forrest,4 - 2,1
Man United,Fulham,1 - 2,0
Arsenal,Newcastle,4 - 1,1
Bournemouth,Man City,0 - 1,0
Crystal Palace,Burnley,3 - 0,1
Liverpool,Luton Town,4 - 1,1
Man City,Brentford,1 - 0,1
Everton,Crystal Palace,1 - 1,0
Sheffield United,Brighton,0 - 5,0
Luton Town,Man United,1 - 2,0
Brentford,Liverpool,1 - 4,0
Burnley,Arsenal,0 - 5,0
Man City,Chelsea,1 - 1,0
Newcastle,Bournemouth,2 - 2,0
Tottenham,Wolves,1 - 2,0
Fulham,Aston Villa,1 - 2,0
Nottm Forrest,West Ham,2 - 0,1
Crystal Palace,Chelsea,1 - 3,0
West Ham,Arsenal,0 - 6,0
Aston Villa,Man United,1 - 2,0
Fulham,Bournemouth,3 - 1,1
Luton Town,Sheffield United,1 - 3,0
Wolves,Brentford,0 - 2,0
Man City,Everton,2 - 0,1
Tottenham,Brighton,2 - 1,1
Liverpool,Burnley,3 - 1,1
Nottm Forrest,Newcastle,2 - 3,0
Brentford,Man City,1 - 3,0
Arsenal,Liverpool,3 - 1,1
Bournemouth,Nottm Forrest,1 - 1,0
Chelsea,Wolves,2 - 4,0
Man United,West Ham,3 - 0,1
Burnley,Fulham,2 - 2,0
Newcastle,Luton Town,4 - 4,0
Brighton,Crystal Palace,4 - 1,1
Everton,Tottenham,2 - 2,0
Sheffield United,Aston Villa,0 - 5,0
West Ham,Bournemouth,1 - 1,0
Wolves,Man United,3 - 4,0
Liverpool,Chelsea,4 - 1,1
Tottenham,Brentford,3 - 2,1
Man City,Burnley,3 - 1,1
