HomeTeam,AwayTeam,Prediction
Man City,Liverpool,1
Man City,Aston Villa,1
Man City,Tottenham,1
Man City,Chelsea,0
Man City,Newcastle,1
Man City,Man United,0
Man City,West Ham,1
Man City,Crystal Palace,1
Man City,Brighton,1
Man City,Bournemouth,1
Man City,Fulham,1
Man City,Wolves,1
Man City,Everton,1
Man City,Brentford,NA
Man City,Nottm Forrest,NA
Man City,Luton Town,NA
Man City,Burnley,1
Man City,Sheffield United,1
Arsenal,Man City,1
Arsenal,Liverpool,1
Arsenal,Aston Villa,1
Arsenal,Tottenham,1
Arsenal,Chelsea,1
Arsenal,Newcastle,1
Arsenal,Man United,1
Arsenal,West Ham,1
Arsenal,Crystal Palace,1
Arsenal,Brighton,1
Arsenal,Bournemouth,1
Arsenal,Fulham,1
Arsenal,Wolves,1
Arsenal,Everton,1
Arsenal,Brentford,NA
Arsenal,Nottm Forrest,NA
Arsenal,Luton Town,NA
Arsenal,Burnley,1
Arsenal,Sheffield United,1
Liverpool,Man City,1
Liverpool,Arsenal,0
Liverpool,Aston Villa,1
Liverpool,Tottenham,1
Liverpool,Chelsea,0
Liverpool,Newcastle,1
Liverpool,Man United,0
Liverpool,West Ham,1
Liverpool,Crystal Palace,1
Liverpool,Brighton,1
Liverpool,Bournemouth,1
Liverpool,Fulham,1
Liverpool,Wolves,1
Liverpool,Everton,1
Liverpool,Brentford,NA
Liverpool,Nottm Forrest,NA
Liverpool,Luton Town,NA
Liverpool,Burnley,1
Liverpool,Sheffield United,1
Aston Villa,Man City,0
Aston Villa,Arsenal,0
Aston Villa,Liverpool,0
Aston Villa,Tottenham,0
Aston Villa,Chelsea,0
Aston Villa,Newcastle,1
Aston Villa,Man United,0
Aston Villa,West Ham,1
Aston Villa,Crystal Palace,0
Aston Villa,Brighton,NA
Aston Villa,Bournemouth,0
Aston Villa,Fulham,1
Aston Villa,Wolves,1
Aston Villa,Everton,0
Aston Villa,Brentford,NA
Aston Villa,Nottm Forrest,NA
Aston Villa,Luton Town,NA
Aston Villa,Burnley,1
Aston Villa,Sheffield United,1
Tottenham,Man City,0
Tottenham,Arsenal,0
Tottenham,Liverpool,0
Tottenham,Aston Villa,1
Tottenham,Chelsea,0
Tottenham,Newcastle,1
Tottenham,Man United,0
Tottenham,West Ham,1
Tottenham,Crystal Palace,1
Tottenham,Brighton,1
Tottenham,Bournemouth,1
Tottenham,Fulham,1
Tottenham,Wolves,1
Tottenham,Everton,1
Tottenham,Brentford,NA
Tottenham,Nottm Forrest,NA
Tottenham,Luton Town,NA
Tottenham,Burnley,1
Tottenham,Sheffield United,0
Chelsea,Man City,1
Chelsea,Arsenal,1
Chelsea,Liverpool,1
Chelsea,Aston Villa,1
Chelsea,Tottenham,1
Chelsea,Newcastle,1
Chelsea,Man United,1
Chelsea,West Ham,1
Chelsea,Crystal Palace,1
Chelsea,Brighton,1
Chelsea,Bournemouth,1
Chelsea,Fulham,1
Chelsea,Wolves,1
Chelsea,Everton,1
Chelsea,Brentford,NA
Chelsea,Nottm Forrest,NA
Chelsea,Luton Town,NA
Chelsea,Burnley,1
Chelsea,Sheffield United,1
Newcastle,Man City,0
Newcastle,Arsenal,0
Newcastle,Liverpool,0
Newcastle,Aston Villa,1
Newcastle,Tottenham,0
Newcastle,Chelsea,0
Newcastle,Man United,0
Newcastle,West Ham,0
Newcastle,Crystal Palace,1
Newcastle,Brighton,0
Newcastle,Bournemouth,1
Newcastle,Fulham,1
Newcastle,Wolves,1
Newcastle,Everton,1
Newcastle,Brentford,NA
Newcastle,Nottm Forrest,NA
Newcastle,Luton Town,NA
Newcastle,Burnley,1
Newcastle,Sheffield United,1
Man United,Man City,1
Man United,Arsenal,1
Man United,Liverpool,1
Man United,Aston Villa,1
Man United,Tottenham,1
Man United,Chelsea,1
Man United,Newcastle,1
Man United,West Ham,1
Man United,Crystal Palace,1
Man United,Brighton,1
Man United,Bournemouth,1
Man United,Fulham,1
Man United,Wolves,1
Man United,Everton,1
Man United,Brentford,NA
Man United,Nottm Forrest,NA
Man United,Luton Town,NA
Man United,Burnley,1
Man United,Sheffield United,1
West Ham,Man City,0
West Ham,Arsenal,0
West Ham,Liverpool,0
West Ham,Aston Villa,0
West Ham,Tottenham,0
West Ham,Chelsea,0
West Ham,Newcastle,1
West Ham,Man United,0
West Ham,Crystal Palace,1
West Ham,Brighton,0
West Ham,Bournemouth,1
West Ham,Fulham,0
West Ham,Wolves,1
West Ham,Everton,0
West Ham,Brentford,NA
West Ham,Nottm Forrest,NA
West Ham,Luton Town,NA
West Ham,Burnley,1
West Ham,Sheffield United,0
Crystal Palace,Man City,0
Crystal Palace,Arsenal,0
Crystal Palace,Liverpool,0
Crystal Palace,Aston Villa,0
Crystal Palace,Tottenham,0
Crystal Palace,Chelsea,0
Crystal Palace,Newcastle,0
Crystal Palace,Man United,0
Crystal Palace,West Ham,0
Crystal Palace,Brighton,0
Crystal Palace,Bournemouth,0
Crystal Palace,Fulham,0
Crystal Palace,Wolves,NA
Crystal Palace,Everton,0
Crystal Palace,Brentford,NA
Crystal Palace,Nottm Forrest,NA
Crystal Palace,Luton Town,NA
Crystal Palace,Burnley,0
Crystal Palace,Sheffield United,NA
Brighton,Man City,1
Brighton,Arsenal,0
Brighton,Liverpool,0
Brighton,Aston Villa,NA
Brighton,Tottenham,0
Brighton,Chelsea,0
Brighton,Newcastle,0
Brighton,Man United,0
Brighton,West Ham,0
